Star Designation;;Stellar Class;Apparent Magnitude;Absolute Magnitude;Right Ascension (J2000);Declination (J2000);Distance (Light Years)
ζ Doradus;A;F7V;4.71;4.38;05h 05m 30.72s;−57° 28′ 21.7″;38
ζ Herculis;A;F9IV;2.91;2.74;16h 41m 17.16s;+31° 36′ 09.8″;35.2
ζ Herculis;B;G7V;5.43;5.26;16h 41m 17.16s;+31° 36′ 09.8″;35.2
ζ Trianguli Australis;;F9V;4.91;4.5;16h 28m 27.46s;−70° 05′ 03.8″;39.5
ζ1 Reticuli;;G2V;5.53;5.11;03h 17m 42.77s;−62° 34′ 31.2″;39.5
ζ2 Reticuli;;G1V;5.24;4.83;03h 18m 09.45s;−62° 30′ 22.9″;39.4
η Boötis;A/B;G0IV;2.68;2.41;13h 54m 41.08s;+18° 23′ 51.8″;37
θ Persei;A;F7V;4.1;3.85;02h 44m 11.99s;+49° 13′ 42.4″;36.6
ι Pegasi;A/B;F5V;3.77;3.42;22h 07m 00.67s;+25° 20′ 42.4″;38.3
ι Persei;;G0V;4.05;3.94;03h 09m 04.02s;+49° 36′ 47.8″;34.4
λ Aurigae;;G0V;4.69;4.18;05h 19m 08.38s;+40° 05′ 56.6″;41.2
λ Serpentis;;G0Vvar;4.42;4.07;15h 46m 26.61s;+07° 21′ 11.1″;38.3
ρ1 Cancri;A;G8V;5.96;5.47;08h 52m 35.85s;+28° 19′ 50.9″;40.9
10 Tauri;;F9V;4.29;3.6;03h 36m 53s;+00° 24′ 10″;44.7
111 Tauri;A;F8V;5;4.17;05h 24m 25s;+17° 23′ 00″;47.8
111 Tauri;B;dK5e;7.83;7;05h 23m 38s;+17° 19′ 27″;47.8
18 Scorpii;;G1V;5.5;4.76;16h 15m 37s;−08° 22′ 06″;45.3
20 Leonis Minoris;A;G3Va;5.4;4.5;10h 01m 01s;+31° 55′ 25″;48.6
26 Draconis;A;F9V;5.06;4.31;17h 34m 60s;+61° 52′ 30″;46
26 Draconis;B;K3V;7.95;7.2;17h 34m 60s;+61° 52′ 30″;46
36 Ursae Majoris;B;K7Ve;8.77;8.06;10h 30m 25s;+56° 00′ 00″;45.2
47 Ursae Majoris;;G0V;5.03;4.29;10h 59m 28s;+40° 25′ 48″;45.9
58 Eridani;;G1V;5.63;5.01;04h 47m 36s;−16° 56′ 04″;43.4
72 Herculis;;G0V;5.38;4.59;17h 20m 39s;+32° 28′ 13″;46.9
AB Doradus;A;K1Vp;6.98;−;05h 28m 45s;−65° 26′ 55″;48.7
Alderamin;;A7IV-V;2.45;1.58;21h 18m 35s;+62° 35′ 08″;48.8
Gliese 1021;;G5V;5.8;4.93;00h 45m 45s;−47° 33′ 06″;48.7
Gliese 1279 (nl);;K5V;8.5;7.62;23h 09m 41s;−67° 44′ 00″;48.8
Gliese 146;;K5V;8.95;8.34;03h 35m 01s;−48° 25′ 09″;43.1
Gliese 167;;K5V;7.62;7.03;04h 15m 57s;−53° 18′ 35″;42.8
Gliese 204 (it);;K5V;8.23;7.65;05h 28m 26s;−03° 29′ 58″;42.6
Gliese 259 (nl);;K1V;6.88;6.05;07h 01m 14s;−25° 56′ 55″;47.7
Gliese 282;A;K2V;7.26;6.52;07h 39m 59s;−03° 35′ 51″;45.9
Gliese 282;B;K5;9.02;8.28;07h 39m 59s;−03° 35′ 51″;45.9
Gliese 42;;K2V;7.48;6.72;00h 53m 01s;−30° 21′ 25″;46.2
Gliese 420 (nl);;dK5;8.06;7.26;11h 15m 12s;+73° 28′ 31″;47.1
Gliese 481;;K2;7.86;7.07;12h 41m 06s;+15° 22′ 36″;47
Gliese 481 (it);;K4V;7.91;7.13;12h 41m 06s;+15° 22′ 36″;46.2
Gliese 5;;G8V;5.92;5.23;00h 06m 37s;+29° 01′ 19″;44.7
Gliese 528 (it);A;K4V;7.96;7.32;13h 49m 04s;+26° 58′ 47″;43.7
Gliese 528 (it);B;dK6;8.35;7.71;13h 49m 04s;+26° 58′ 47″;43.7
Gliese 529;;K5.5Vk;8.36;7.62;13h 49m 45s;−22° 06′ 40″;45.9
Gliese 52 (nl);;K7V;8.98;8.1;01h 07m 09s;+63° 56′ 30″;48.8
Gliese 532 (it);;K5;8.99;8.24;13h 52m 00s;+49° 57′ 03″;46
Gliese 546 (nl);;K5V;8.37;7.57;14h 21m 57s;+29° 37′ 47″;47.1
Gliese 556 (it);;K3V;7.32;6.67;14h 33m 29s;+52° 54′ 32″;44
Gliese 604 (nl);;K5V;8.05;7.22;15h 57m 41s;−42° 37′ 27″;47.8
Gliese 611 (it);A;G8V;6.71;5.94;16h 04m 57s;+39° 09′ 23″;46.4
Gliese 613;;K3V;7.12;6.33;16h 09m 43s;−56° 26′ 46″;46.8
Gliese 615;;K0V;7.36;6.66;16h 13m 49s;−57° 34′ 14″;45.1
Gliese 656;;K0V;7.28;6.58;17h 10m 10s;−60° 43′ 44″;44.9
Gliese 69;;K5V;8.35;7.74;01h 43m 41s;+63° 49′ 24″;43.1
Gliese 716;;K2V;6.81;6.21;18h 31m 19s;−18° 54′ 30″;43.1
Gliese 726;;K5;8.91;8.17;18h 47m 27s;−03° 38′ 23″;45.9
Gliese 738;A;G0V;6.22;5.34;18h 57m 02s;+32° 54′ 05″;48.9
Gliese 738;B;K1V;7.53;6.65;18h 57m 02s;+32° 54′ 05″;48.9
Gliese 796;;G8V;6.37;5.58;20h 40m 12s;−23° 46′ 24″;46.9
Gliese 833 (it);;K2V;7.31;6.48;21h 36m 41s;−50° 50′ 43″;47.7
Gliese 853;A;G1-3V;5.33;4.66;22h 18m 15s;−53° 37′ 32″;44.4
Gliese 868;;K5V;7.93;7.25;22h 40m 43s;−29° 40′ 28″;44.5
Gliese 898;;K5/M0V;8.38;7.68;23h 32m 49s;−16° 50′ 44″;45.1
HD 150689 (nl);;K2V;7.39;6.62;16h 44m 14s;−38° 56′ 36″;46.4
HD 166348 (it);;K7V;8.23;7.65;18h 12m 21s;−43° 26′ 41″;42.6
HD 23356 (nl);;K2V;7.1;6.4;03h 43m 56s;−19° 06′ 42″;45.2
HD 36003;;K5V;7.65;7.08;05h 28m 26s;−03° 29′ 58″;42.5
HD 97584;A;K4V;7.68;6.85;11h 15m 12s;+73° 28′ 31″;47.9
HR 7578;;K3V;6.23;5.46;19h 54m 18s;−23° 56′ 28″;46.4
it:Gliese 269;A;K2V;8.08;7.26;07h 17m 30s;−46° 58′ 45″;47.6
LHS 3508 (it);;K5V;7.91;7.24;20h 02m 35s;−50° 03′ 06″;44.3
OU Geminorum;;K2Ve;6.76;5.91;06h 26m 10s;+18° 45′ 25″;48.2
Ras Alhague;A;A5III;2.08;1.3;17h 34m 56s;+12° 33′ 36″;46.7
SZ Crateris (it);A;K5V;8.61;8;11h 21m 27s;−20° 27′ 14″;42.9
V1654 Aquilae;;K4V;7.45;6.84;20h 02m 47s;+03° 19′ 34″;43.1
V834 Tau;;K3V;8.03;7.36;04h 41m 19s;+20° 54′ 05″;44.4
α Corvi;;F2V;4.02;3.17;12h 08m 25s;−24° 43′ 44″;48.2
α Fornacis;A;F7IV;3.8;3.05;03h 12m 04s;−28° 59′ 21″;46
α Fornacis;B;G7V;6.73;5.98;03h 12m 04s;−28° 59′ 21″;46
β Aquilae;A;G8IV;3.75;3.06;19h 55m 19s;+06° 24′ 29″;44.7
γ Cephei;A;K1IV;2.94;2.24;23h 39m 21s;+77° 37′ 56″;45
η Cephei;;K0IV;3.42;2.63;20h 45m 17s;+61° 50′ 20″;46.8
θ Boötis;A;F7V;4.1;3.28;14h 25m 12s;+51° 51′ 06″;47.5
θ Ursae Majoris;;F6IV;3.02;2.37;09h 32m 52s;+51° 40′ 43″;44
ι Piscium;;F7V;4.06;3.36;23h 39m 57s;+05° 37′ 38″;45
ι Ursae Majoris;A;A7V;3.23;2.4;08h 59m 13s;+48° 02′ 32″;47.7
ν Phoenicis;;F8V;4.57;3.7;01h 15m 11s;−45° 31′ 54″;48.7
ν2 Lupi;;G2V;5.66;4.84;15h 21m 48s;−48° 19′ 04″;47.5
π1 Ursae Majoris;;G1V;5.63;4.86;08h 39m 12s;+65° 01′ 15″;46.6
τ1 Eridani;A/B;F5/F6V;4.47;3.74;02h 45m 06s;−18° 34′ 22″;45.5
υ Andromedae;;F7V;3.51;2.86;01h 36m 48s;+41° 24′ 20″;43.9
ψ Capricorni;;F5V;4.14;3.3;20h 46m 06s;−25° 16′ 14″;47.9
ψ Serpentis;;G5V;5.86;5.03;15h 44m 02s;+02° 30′ 55″;47.8
